,Subjects,Program,Career option,Subject 1.1,Subject 2.2,Subject 3.3,total_points,imp,ids
3,"Chemistry, Mathematics, Physics",Computer Science,Information and Technology,3,3,5,11,"Chemistry, Mathematics, Physics Information and Technology 11",0
4,"Chemistry, Mathematics, Physics",electronics engineering ,Engineering,5,4,2,11,"Chemistry, Mathematics, Physics Engineering 11",1
5,"History, Shona, Religious Studies",Developmental Studies,Humanitarians and Arts,4,2,3,9,"History, Shona, Religious Studies Humanitarians and Arts 9",2
6,"Mathematics, Physics, Computer Science",Computer Science,Information and Technology,3,3,5,11,"Mathematics, Physics, Computer Science Information and Technology 11",3
7,"Accounting, Mathematics, Business Studies",Accounting,Accounting and Commerce,5,4,3,12,"Accounting, Mathematics, Business Studies Accounting and Commerce 12",4
8,"English Literature, History, Shona",Politics and public management,Humanitarians and Arts,4,3,2,9,"English Literature, History, Shona Humanitarians and Arts 9",5
9,"English Literature, History, Divinity",Law,Law,5,5,5,15,"English Literature, History, Divinity Law 15",6
10,"Chemistry, Mathematics, Physics",Electronics Engineering,Engineering,5,5,4,14,"Chemistry, Mathematics, Physics Engineering 14",7
11,"Chemistry, Mathematics, Physics",Industrial and manufacturing engineering,Engineering,5,2,3,10,"Chemistry, Mathematics, Physics Engineering 10",8
12,"Mathematics, Physics, Geography",Mining Engineering,Engineering,5,5,4,14,"Mathematics, Physics, Geography Engineering 14",9
13,"Mathematics, Physics, Computer Science",Software Engineering,Information and Technology,5,4,5,14,"Mathematics, Physics, Computer Science Information and Technology 14",10
14,"Chemistry, Mathematics, Geography",Fuels and Energy,Engineering,4,3,4,11,"Chemistry, Mathematics, Geography Engineering 11",11
15,"English Literature, History, Shona",Social Work,Humanitarians and Arts,5,5,4,14,"English Literature, History, Shona Humanitarians and Arts 14",12
16,"Accounting, Economics, Commerce",Business Management,Humanitarians and Arts,4,3,2,9,"Accounting, Economics, Commerce Humanitarians and Arts 9",13
17,"Accounting, Mathematics, Business Studies",Accounting,Accounting and Commerce,5,5,5,15,"Accounting, Mathematics, Business Studies Accounting and Commerce 15",14
18,"Accounting, Mathematics, Business Studies",Acturial Science,Accounting and Commerce,5,5,5,15,"Accounting, Mathematics, Business Studies Accounting and Commerce 15",15
19,"Chemistry, Mathematics, Biology",Biochemistry,Health Science and Medicine,4,3,1,8,"Chemistry, Mathematics, Biology Health Science and Medicine 8",16
20,"Computer Science, Business Studies, Commerce",Information Systems,Information and Technology,3,4,4,11,"Computer Science, Business Studies, Commerce Information and Technology 11",17
21,"History, Geography, Shona",Urban planning,Humanitarians and Arts,4,2,3,9,"History, Geography, Shona Humanitarians and Arts 9",18
22,"Accounting, Economics, Geography",Quantity Survey,Architecture and Survey,4,3,4,11,"Accounting, Economics, Geography Architecture and Survey 11",19
23,"Accounting, Business Studies, Commerce",Forensic Audit,Accounting and Commerce,5,2,3,10,"Accounting, Business Studies, Commerce Accounting and Commerce 10",20
24,"Accounting, Business Studies, Commerce",Marketing,Accounting and Commerce,4,2,2,8,"Accounting, Business Studies, Commerce Accounting and Commerce 8",21
25,"History, Shona, Divinity",Human Resources Studies,Humanitarians and Arts,5,3,5,13,"History, Shona, Divinity Humanitarians and Arts 13",22
26,"Accounting, Economics, Business Studies",Banking ,Accounting and Commerce,4,3,1,8,"Accounting, Economics, Business Studies Accounting and Commerce 8",23
27,"Mathematics, Business Studies, Commerce",Finance,Accounting and Commerce,3,4,2,9,"Mathematics, Business Studies, Commerce Accounting and Commerce 9",24
28,"Mathematics, Physics, Design and Technology",Computer Science,Information and Technology,4,4,5,13,"Mathematics, Physics, Design and Technology Information and Technology 13",25
29,"Mathematics, Computer Science, Commerce",Information Technology,Information and Technology,4,4,4,12,"Mathematics, Computer Science, Commerce Information and Technology 12",26
30,"Mathematics, Physics, Computer Science",Informatics,Information and Technology,3,3,3,9,"Mathematics, Physics, Computer Science Information and Technology 9",27
31,"Mathematics, Physics, Computer Science",Computer Science,Information and Technology,5,3,4,12,"Mathematics, Physics, Computer Science Information and Technology 12",28
32,"Mathematics, Physics, Geography",Environmental Engineering,Engineering,4,3,5,12,"Mathematics, Physics, Geography Engineering 12",29
33,"Accounting, Mathematics, Business Studies",Data Scince and Informatics,Information and Technology,4,4,3,11,"Accounting, Mathematics, Business Studies Information and Technology 11",30
34,"Chemistry, Mathematics, Biology",Medicine,Health Science and Medicine,5,5,5,15,"Chemistry, Mathematics, Biology Health Science and Medicine 15",31
35,"Chemistry, Mathematics, Physics",Radiograph,Health Science and Medicine,5,4,5,14,"Chemistry, Mathematics, Physics Health Science and Medicine 14",32
